major,课程数,含工具课程数,平均命中率,最佳Jaccard均值
财税大数据应用,92,67,0.022,0.265
金融服务与管理,96,68,0.017,0.193
财富管理,115,77,0.014,0.173
大数据与会计,91,53,0.014,0.205
智能建造技术,51,33,0.011,0.146
环境工程技术,69,53,0.011,0.148
机械设计与制造,49,37,0.011,0.239
环境艺术设计,50,33,0.011,0.203
园林工程技术,63,36,0.01,0.169
智能机器人技术,57,43,0.01,0.215
人工智能技术应用,60,51,0.009,0.278
嵌入式技术,64,41,0.009,0.159
智能制造工程技术,65,43,0.009,0.156
电子商务,45,26,0.008,0.141
软件技术,133,108,0.008,0.22
数字媒体艺术设计,87,56,0.008,0.287
工业互联网技术,47,32,0.008,0.261
智能控制技术,59,47,0.008,0.228
智能产品开发与应用,47,31,0.007,0.203
工业机器人技术,56,40,0.007,0.172
汽车智能技术,81,70,0.007,0.147
移动互联应用技术,59,46,0.006,0.174
智能光电制造技术,40,28,0.006,0.253
云计算技术应用,65,51,0.006,0.169
数字媒体技术,57,44,0.006,0.256
无人机应用技术,37,29,0.006,0.174
工业软件开发技术,47,32,0.006,0.126
工业设计,41,17,0.006,0.2
大数据技术,58,44,0.006,0.235
区块链技术应用,42,28,0.006,0.144
计算机网络技术,50,41,0.005,0.184
物联网应用技术,61,50,0.005,0.179
国际商务,42,19,0.005,0.107
环境监测技术,53,37,0.005,0.094
虚拟现实技术应用,47,37,0.004,0.231
计算机应用技术,66,54,0.004,0.197
工商企业管理,45,12,0.004,0.145
现代移动通信技术,73,55,0.003,0.135
软件工程技术,54,40,0.003,0.134
现代通信工程,55,25,0.003,0.076
智能光电技术应用,45,27,0.003,0.153
集成电路技术,65,38,0.003,0.141
智能互联网络技术,62,44,0.002,0.121
文化产业经营与管理,38,14,0.002,0.088
广播影视节目制作,35,26,0.002,0.127
城市轨道交通运营管理,37,20,0.002,0.063
商务英语,89,45,0.002,0.066
关务与外贸服务,35,13,0.002,0.071
信息安全技术应用,39,31,0.002,0.14
集成电路工程技术,53,35,0.002,0.117
现代物流管理,54,27,0.001,0.074
学前教育,41,24,0.001,0.037
现代文秘,50,22,0.0,0.027
体育艺术表演,51,18,0.0,0.009
